Nombre del producto,Título de variante de producto,SKU de variante de producto,Día,Artículos netos vendidos,Ventas brutas,Descuentos,Devoluciones,Ventas netas,Impuestos,Ventas totales
prueba1,Default Title,,18/07/24,1,1,0,0,1,0,1
prueba1,Default Title,,30/07/24,1,100,0,0,100,0,100
Manhattan Eau de Parfum,100ml,2002,06/08/24,1,599,-89.85,0,509.15,0,509.15
Tundra Eau de Parfum,100ml,10,06/08/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,06/08/24,6,595,-74.25,0,520.75,0,520.75
Set LeBorêt No. 1,3 x 100ml,1,06/08/24,4,6396,-959.4,0,5436.6,0,5436.6
Set Descubriendo LeBorêt,3 x 5ml,2,07/08/24,1,99,-14.85,0,84.15,0,84.15
Set LeBorêt No. 1,3 x 100ml,1,07/08/24,1,1599,-239.85,0,1359.15,0,1359.15
Manhattan Eau de Parfum,100ml,2002,08/08/24,1,599,0,0,599,0,599
Manhattan Eau de Parfum,100ml,2002,10/08/24,1,599,-89.85,0,509.15,0,509.15
Manhattan Eau de Parfum,100ml,2002,11/08/24,1,599,-89.85,0,509.15,0,509.15
Tundra Eau de Parfum,100ml,10,11/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,12/08/24,2,3198,-399.75,0,2798.25,0,2798.25
Set Descubriendo LeBorêt,3 x 5ml,2,12/08/24,1,129,0,0,129,0,129
Set LeBorêt No. 1,3 x 100ml,1,13/08/24,8,12792,-799.5,0,11992.5,0,11992.5
Set Descubriendo LeBorêt,3 x 5ml,2,13/08/24,2,258,-38.7,0,219.3,0,219.3
Manhattan Eau de Parfum,100ml,2002,13/08/24,3,1797,-269.55,0,1527.45,0,1527.45
Set LeBorêt No. 1,3 x 100ml,1,14/08/24,2,3198,-479.7,0,2718.3,0,2718.3
Manhattan Eau de Parfum,100ml,2002,14/08/24,1,599,-89.85,0,509.15,0,509.15
Sahara Eau de Parfum,100ml,1035,14/08/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,14/08/24,3,387,-38.7,0,348.3,0,348.3
Sahara Eau de Parfum,100ml,1035,15/08/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,15/08/24,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,15/08/24,1,129,-19.35,0,109.65,0,109.65
Set LeBorêt No. 1,3 x 100ml,1,16/08/24,1,1599,-239.85,0,1359.15,0,1359.15
Set Descubriendo LeBorêt,3 x 5ml,2,16/08/24,1,129,-12.9,0,116.1,0,116.1
Set Descubriendo LeBorêt,3 x 5ml,2,17/08/24,5,645,-58.05,0,586.95,0,586.95
Set LeBorêt No. 1,3 x 100ml,1,17/08/24,5,7995,-639.6,0,7355.4,0,7355.4
Manhattan Eau de Parfum,100ml,2002,17/08/24,1,599,-59.9,0,539.1,0,539.1
Set Descubriendo LeBorêt,3 x 5ml,2,18/08/24,6,774,-45.15,0,728.85,0,728.85
Set LeBorêt No. 1,3 x 100ml,1,18/08/24,4,6396,-719.55,0,5676.45,0,5676.45
Set Descubriendo LeBorêt,3 x 5ml,2,19/08/24,2,258,0,0,258,0,258
Set LeBorêt No. 1,3 x 100ml,1,19/08/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set Descubriendo LeBorêt,3 x 5ml,2,20/08/24,4,516,-38.7,0,477.3,0,477.3
Set LeBorêt No. 1,3 x 100ml,1,20/08/24,3,4797,-639.6,0,4157.4,0,4157.4
Set Descubriendo LeBorêt,3 x 5ml,2,21/08/24,3,387,-19.35,0,367.65,0,367.65
Set LeBorêt No. 1,3 x 100ml,1,21/08/24,4,6396,-639.6,0,5756.4,0,5756.4
Set Descubriendo LeBorêt,3 x 5ml,2,22/08/24,2,258,-19.35,0,238.65,0,238.65
Set LeBorêt No. 1,3 x 100ml,1,22/08/24,2,3198,-479.7,0,2718.3,0,2718.3
Set Descubriendo LeBorêt,3 x 5ml,2,23/08/24,5,645,-32.25,0,612.75,0,612.75
Manhattan Eau de Parfum,100ml,2002,23/08/24,1,599,-89.85,0,509.15,0,509.15
Manhattan Eau de Parfum,100ml,2002,24/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,24/08/24,3,4797,-399.75,0,4397.25,0,4397.25
Set LeBorêt No. 1,3 x 100ml,1,25/08/24,6,9594,-1039.35,0,8554.65,0,8554.65
Set Descubriendo LeBorêt,3 x 5ml,2,25/08/24,3,387,-38.7,0,348.3,0,348.3
Manhattan Eau de Parfum,100ml,2002,25/08/24,4,2396,-359.4,0,2036.6,0,2036.6
Tundra Eau de Parfum,100ml,10,25/08/24,1,599,-89.85,0,509.15,0,509.15
Manhattan Eau de Parfum,100ml,2002,26/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,26/08/24,2,3198,-239.85,0,2958.15,0,2958.15
Sahara Eau de Parfum,100ml,1035,26/08/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,26/08/24,2,258,-19.35,0,238.65,0,238.65
Set LeBorêt No. 1,3 x 100ml,1,27/08/24,5,7995,-1119.3,0,6875.7,0,6875.7
Set Descubriendo LeBorêt,3 x 5ml,2,27/08/24,2,258,-38.7,0,219.3,0,219.3
Set LeBorêt No. 1,3 x 100ml,1,28/08/24,8,12792,-1758.9,0,11033.1,0,11033.1
Manhattan Eau de Parfum,100ml,2002,28/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,29/08/24,4,6396,-879.45,0,5516.55,0,5516.55
Set Descubriendo LeBorêt,3 x 5ml,2,29/08/24,3,387,-45.15,0,341.85,0,341.85
Sahara Eau de Parfum,100ml,1035,30/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,30/08/24,14,22386,-2318.55,0,20067.45,0,20067.45
Set Descubriendo LeBorêt,3 x 5ml,2,30/08/24,2,258,-12.9,0,245.1,0,245.1
Set LeBorêt No. 1,3 x 100ml,1,31/08/24,5,7995,-959.4,0,7035.6,0,7035.6
Set Descubriendo LeBorêt,3 x 5ml,2,31/08/24,2,258,-38.7,0,219.3,0,219.3
Manhattan Eau de Parfum,100ml,2002,31/08/24,1,599,-89.85,0,509.15,0,509.15
Set LeBorêt No. 1,3 x 100ml,1,01/09/24,1,1599,-159.9,0,1439.1,0,1439.1
Manhattan Eau de Parfum,100ml,2002,01/09/24,2,1198,-119.8,0,1078.2,0,1078.2
Set Descubriendo LeBorêt,3 x 5ml,2,01/09/24,1,258,-12.9,-129,116.1,0,116.1
Tundra Eau de Parfum,100ml,10,02/09/24,1,599,0,0,599,0,599
Set LeBorêt No. 1,3 x 100ml,1,02/09/24,3,4797,-159.9,0,4637.1,0,4637.1
Set Descubriendo LeBorêt,3 x 5ml,2,03/09/24,4,516,-25.8,0,490.2,0,490.2
Set LeBorêt No. 1,3 x 100ml,1,03/09/24,3,4797,0,0,4797,0,4797
Set LeBorêt No. 1,3 x 100ml,1,04/09/24,6,9594,-639.6,0,8954.4,0,8954.4
Manhattan Eau de Parfum,100ml,2002,05/09/24,1,599,0,0,599,0,599
Set Descubriendo LeBorêt,3 x 5ml,2,06/09/24,1,129,0,0,129,0,129
Manhattan Eau de Parfum,100ml,2002,06/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,06/09/24,2,3198,-319.8,0,2878.2,0,2878.2
Set LeBorêt No. 1,3 x 100ml,1,07/09/24,3,4797,-159.9,0,4637.1,0,4637.1
Set Descubriendo LeBorêt,3 x 5ml,2,08/09/24,3,387,-12.9,0,374.1,0,374.1
Set LeBorêt No. 1,3 x 100ml,1,08/09/24,4,6396,-319.8,0,6076.2,0,6076.2
Set Descubriendo LeBorêt,3 x 5ml,2,09/09/24,2,258,-12.9,0,245.1,0,245.1
Set LeBorêt No. 1,3 x 100ml,1,09/09/24,4,6396,-479.7,0,5916.3,0,5916.3
Sahara Eau de Parfum,100ml,1035,10/09/24,3,1797,-179.7,0,1617.3,0,1617.3
Set LeBorêt No. 1,3 x 100ml,1,10/09/24,2,3198,0,0,3198,0,3198
Manhattan Eau de Parfum,100ml,2002,10/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,11/09/24,1,1599,-159.9,0,1439.1,0,1439.1
Manhattan Eau de Parfum,100ml,2002,11/09/24,1,599,-89.85,0,509.15,0,509.15
Set Descubriendo LeBorêt,3 x 5ml,2,11/09/24,1,129,-12.9,0,116.1,0,116.1
Manhattan Eau de Parfum,100ml,2002,12/09/24,2,1198,-179.7,0,1018.3,0,1018.3
Set Descubriendo LeBorêt,3 x 5ml,2,12/09/24,1,129,0,0,129,0,129
Set LeBorêt No. 1,3 x 100ml,1,13/09/24,3,4797,-751.53,0,4045.47,0,4045.47
Manhattan Eau de Parfum,100ml,2002,14/09/24,1,599,-59.9,0,539.1,0,539.1
Set LeBorêt No. 1,3 x 100ml,1,14/09/24,1,1599,-159.9,0,1439.1,0,1439.1
Set LeBorêt No. 1,3 x 100ml,1,15/09/24,4,6396,-815.49,0,5580.51,0,5580.51
Manhattan Eau de Parfum,100ml,2002,15/09/24,1,599,0,0,599,0,599
